text,label
"Ndinokutendai chose nerubatsiro rwamakatipa nezuro panyaya yezvikoro. Mwana ari kufara zvikuru nekudzidza kwake kutsva.",0
"Iwe uri zibenzi risingafungi, unongoti zivha-zivha semunhu asina pfungwa dzakakwana mumusoro make.",1
"Ndakaona sora remuriwo rawakasima kuseri kwekumba riya. Rinoratidza kuti riri kukura zvakanaka chose.",0
"Ndaive ndichifunga kuti uri munhu anonzwisisa, asi zvandakaona nhasi zvaratidza kuti uri dhidha chairo rine musoro uzere mweya.",1
"Makadii henyu amai? Ndinovimba mose muri kurarama zvakanaka ikoko kumusha. Isu muno tiri nani.",0
"Uri imbwa yemunhu, hauna kana hunhu hwakanaka hwawakadzidziswa nevabereki vako, uri tsvina chaiyo.",1
"Nhasi kunze kwakachena zvikuru, zuva riri kubuda zvakanaka uye shiri dziri kuimba mumiti.",0
"Hupenyu hwako hwakazara nemanyepo uye unyengeri. Uri muroyi anofamba masikati asina kana nyadzi.",1
"Ndinoshuvira kuti mutambo wenhabvu wanhasi unofadza vanhu vese vachaenda kunoona ku stadium.",0
"Chitarisa uone ubenzi hwawakaita pabasa apa. Munhu akadzidza anogona sei kudaro? Uri duutuu risingabatsiri chinhu.",1
"Tiri kuronga kuita mabiko emhuri mwedzi unouya, ndinovimba mose muchakwanisa kuuya kuzofara nesu.",0
"Hausi munhu iwe, uri sora rinongoda kutsavirwa kure kure nevanhu vanofunga zvakanaka.",1
"Ndaverenga bhuku riya ramakandipa, rine nhoroondo inofadza zvikuru uye inodzidzisa tsika dzedu.",0
"Ndakamboedza kukuremekedza asi zvaramba. Uri munhu akashata mwoyo, unhu hwako hunonhuwa setsoka dzechitunha.",1
"Mazuva ano mvura iri kunaya zvakanaka chose, zvibage zvedu zviri kutaridza kuti zvichapa goho rakanaka.",0
"Wadii kutaura chokwadi pane kuramba uchinyepa? Uri murevi wenhema anoda kurohwa nemheni kuti uone.",1
"Zvinofadza kuona vechidiki vachishingaira muzvirongwa zvebudiriro mumusha medu.",0
"Uri zinyoka rine muchetura, unonyemwerera nevanhu asi mumwoyo mako makazara ruvengo nerima.",1
"Zvekudya zvamabika nhasi zvinonaka chose, ndaguta zvekuti ndave kutoda kungorara zvangu.",0
"Munhu anenge iwe haafaniri kutaura pakati pevanhu vakachenjera. Zviri nani unyarare nokuti uri rema chairo.",1
"Ndafara chose nekuona mufananidzo wemwana wenyu mutsva. Anoyevedza zvikuru.",0
"Uri munhu asina basa, unongofamba uchingoparadzira makuhwa uye kuvenga vamwe pasina chikonzero.",1
"Ndinovimba kuti gore rino tichava nerunyararo nekubatana kwakanaka munyika yedu.",0
"Regai ndikuudzei chokwadi, imi muri vanhu vakapusa vanotungamirirwa nemunhu asina kana pfungwa imwechete.",1
"Basa ramakaita rekugadzira mugwagwa uyu rakakosha zvikuru kwatiri tese.",0
"Iwe mupengo, unongopenga pasina kana chikonzero, unofanira kuiswa kuChikurubi nekuti pfungwa dzako hadzisi dzevanhu.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvose zvamunobata.",0
"Tarisa uone marara amakasiya apa. Hamuna kana kudzidza hunhu? Muri mhuka chaidzo dzisingazivi kuchengetedza nzvimbo.",1
"Vana vese vanofanira kuenda kuchikoro kuti vave neramangwana rakanaka.",0
"Uri tsuro inotsvaka mhuka imwe chete iyo iwe pachako hauzivi kuti chii. Uri dambu chairo.",1
"Ndinotenda nerutsigiro rwamakatipa panguva yekusuwa kwedu, Mwari vakuropafadzei.",0
"Hamungambofa makabudirira muhupenyu hwamuri kurarama hwekuba nekubiridzira vamwe. Muri mbavha chaidzo.",1
"Zvakakosha kuti tichengetedze mhuka dzedu dzesango kuitira vana vedu vemberi.",0
"Wadii kumbonyarara uone kuti upenyu huri kufamba sei? Uri kuita sepfungwa dzako dzakaora senyama yasiiwa pazuva.",1
"Ndafadzwa chose nekuona kurima kwamuri kuita, muri varimi vechokwadi.",0
"Uri chigandanga chinofamba chichingotyisidzira vanhu. Rimwe zuva uchasungwa ukaona kuti nyika haisi yako wega.",1
"Ndinoshuvira kuti rwendo rwenyu rwekudivi reku Bulawayo ruve rwakachengeteka chose.",0
"Vanhu vakafanana nemwi vanokodzera kungoraswa mugaba remarara nekuti muri tsvina chete isina pundutso.",1
"Zvinofadza chose kuona mhuri dzichibatana mumabasa echechi kana enharaunda.",0
"Uri munhu asina pfungwa, wakangosimba muviri asi musoro wako wakangozara nejecha nezvidhina.",1
"Ndinokutendai nerudo rwamunoratidza vana vanoshaya, basa iri rakakura chose.",0
"Imi muri mapenzi akapedza kufunga. Hamuzivi here kuti zvamuri kuita zvichakuparadzai pakupedzirira?",1
"Zvitoro zvemuno mazuva ano zvave nezvinhu zvakawanda zvinodiwa nevanhu.",0
"Uri mbabvu yakaoma isingagoni kana kunzi munhu. Unongofamba uchitsvaka kwaunogona kuba chete.",1
"Kuwirirana nevavakidzani kunoita kuti musha uve nerunyararo nekufara.",0
"Hamuna hunhu, hamuna ruremekedzo, hamuna kana chimwe chinhu chakanaka chamunogona kuitira vamwe.",1
"Ndinotenda nekundikweretesa sando yako, ndapedza nayo basa zvino ndave kuda kuidzosera.",0
"Uri tsvina yemunhu, wakanyanya kuipa zvekuti nemadhaka chaiwo ari nani pane iwe.",1
"Gore rino zhizha ratanga zvakanaka, tinotenda kuna Musiki nerubatsiro rwemvura.",0
"Pfungwa dzako dziri kumashure zvekuti unotoita semunhu akararama munguva yematombo. Uri rema rekupedzirira.",1
"Ndinoda kukukumbira kuti utibatsirewo kudzidzisa vana vedu mimhanzi pakupera kwesvondo.",0
"Uri pfambi inofamba ichingoparadzira chirwere pasina kana nyadzi dzekurwadziwa nemunhu.",1
"Zvinhu zvakanaka zvinouya kune vanoziva kumirira vachishanda nesimba.",0
"Munhu akaita sewe haana kana nzvimbo munharaunda yedu. Uri chikorokoza chakashata mwoyo.",1
"Tose ngatishandei nesimba kuti tivake nyika yedu ive inoyevedza.",0
"Uri imbwa yechirume inongotenderera ichingoda kuruma vanhu pasina kana chikonzero. Pfungwa dzako dzakaora.",1
"Ndinokushuvira zuva rine mufaro nekubudirira pazvose zvamunobata.",0
"Hauna kana kumbodzidza tsika dzechiAfruca iwe. Uri murungu mutema anofunga kuti pfungwa dzekune vamwe ndidzo dzakanaka.",1
"Makorokoto nekupedza chikoro kwemwanasikana wenyu, tinofara nemi.",0
"Uri munhu asina mwoyo, unofara nekutambudzika kwevamwe. Uri satani chaiye anofamba panyika.",1
"Moms vakandifonera vachiti ndibatsire nekurima panze. Ndanzwa kushingaira.",0
